dataset,method,pearson_corr_profile_r,mean_abs_corr_delta,p90_abs_corr_delta,real_mean_abs_corr,syn_mean_abs_corr
HIV,Bootstrap,0.948318898528779,0.06428039244118869,0.13815063260840155,0.29115482057001396,0.2883787314642815
HIV,Column-wise,0.11106592253676503,0.2996160173810833,0.5939137248484294,0.29115482057001396,0.09443896939165126
HIV,GMM,0.8691315279463947,0.09679001396749122,0.20904982662914107,0.29115482057001396,0.2948342359020879
HIV,CVAE,0.8170796416683811,0.1676647213320351,0.3522968240013571,0.29115482057001396,0.3747679461643025
Breast Cancer,Bootstrap,0.9934626779208787,0.02580311323660901,0.05574334651081373,0.39489662619874144,0.39630981001321447
Breast Cancer,Column-wise,0.6722944688078043,0.21426417909087014,0.44089849439081885,0.39489662619874144,0.22465958800294342
Breast Cancer,GMM,0.9302403454590168,0.07823814966291673,0.2171471066784414,0.39489662619874144,0.33025678341719195
Breast Cancer,CVAE,0.9856935802236712,0.059522270717402466,0.11661988611064913,0.39489662619874144,0.44680966207791867
Diabetes,Bootstrap,0.9766018670510976,0.030284919594823486,0.05019319114081776,0.17165678976004015,0.18217390813908607
Diabetes,Column-wise,-0.03561716725077598,0.15321343194254333,0.3588507231381321,0.17165678976004015,0.04796174874342563
Diabetes,GMM,0.9830690677685242,0.03041987249911104,0.06384653540697523,0.17165678976004015,0.16339724162862113
Diabetes,CVAE,0.8233383049701419,0.11674488339066948,0.25577342674777026,0.17165678976004015,0.2492696026154026
