dataset,method,frobenius_deviation,edge_recovery,synthetic_only_rate,n_real_edges,n_synthetic_edges,figure_dataset
HIV,Bootstrap,1.18365575882874,0.8118279569892473,0.2094240837696335,186,191,HIV examples
HIV,Column-wise,3.1616900670568455,0.0,,186,0,HIV examples
HIV,GMM,1.276115379401225,0.7903225806451613,0.2722772277227723,186,202,HIV examples
HIV,CVAE,2.5083290386337653,0.7419354838709677,0.5880597014925373,186,335,HIV examples
Breast Cancer,Bootstrap,0.3785609336825726,0.9278350515463918,0.05263157894736842,97,95,HIV examples
Breast Cancer,Column-wise,2.41274395748954,0.27835051546391754,0.1,97,30,HIV examples
Breast Cancer,GMM,0.9220850653158855,0.7938144329896907,0.01282051282051282,97,78,HIV examples
Breast Cancer,CVAE,0.7506517615303969,0.9484536082474226,0.19298245614035087,97,114,HIV examples
Diabetes,Bootstrap,0.3701348733833326,1.0,0.125,21,24,HIV examples
Diabetes,Column-wise,1.6622355309806711,0.6666666666666666,0.2631578947368421,21,19,HIV examples
Diabetes,GMM,0.2830614784889803,0.9523809523809523,0.2,21,25,HIV examples
Diabetes,CVAE,2.8512758590002525,0.9523809523809523,0.2,21,25,HIV examples
HIV,Bootstrap,1.18365575882874,0.8118279569892473,0.2094240837696335,186,191,Breast Cancer
HIV,Column-wise,3.1616900670568455,0.0,,186,0,Breast Cancer
HIV,GMM,1.276115379401225,0.7903225806451613,0.2722772277227723,186,202,Breast Cancer
HIV,CVAE,2.5083290386337653,0.7419354838709677,0.5880597014925373,186,335,Breast Cancer
Breast Cancer,Bootstrap,0.3785609336825726,0.9278350515463918,0.05263157894736842,97,95,Breast Cancer
Breast Cancer,Column-wise,2.41274395748954,0.27835051546391754,0.1,97,30,Breast Cancer
Breast Cancer,GMM,0.9220850653158855,0.7938144329896907,0.01282051282051282,97,78,Breast Cancer
Breast Cancer,CVAE,0.7506517615303969,0.9484536082474226,0.19298245614035087,97,114,Breast Cancer
Diabetes,Bootstrap,0.3701348733833326,1.0,0.125,21,24,Breast Cancer
Diabetes,Column-wise,1.6622355309806711,0.6666666666666666,0.2631578947368421,21,19,Breast Cancer
Diabetes,GMM,0.2830614784889803,0.9523809523809523,0.2,21,25,Breast Cancer
Diabetes,CVAE,2.8512758590002525,0.9523809523809523,0.2,21,25,Breast Cancer
HIV,Bootstrap,1.18365575882874,0.8118279569892473,0.2094240837696335,186,191,Diabetes
HIV,Column-wise,3.1616900670568455,0.0,,186,0,Diabetes
HIV,GMM,1.276115379401225,0.7903225806451613,0.2722772277227723,186,202,Diabetes
HIV,CVAE,2.5083290386337653,0.7419354838709677,0.5880597014925373,186,335,Diabetes
Breast Cancer,Bootstrap,0.3785609336825726,0.9278350515463918,0.05263157894736842,97,95,Diabetes
Breast Cancer,Column-wise,2.41274395748954,0.27835051546391754,0.1,97,30,Diabetes
Breast Cancer,GMM,0.9220850653158855,0.7938144329896907,0.01282051282051282,97,78,Diabetes
Breast Cancer,CVAE,0.7506517615303969,0.9484536082474226,0.19298245614035087,97,114,Diabetes
Diabetes,Bootstrap,0.3701348733833326,1.0,0.125,21,24,Diabetes
Diabetes,Column-wise,1.6622355309806711,0.6666666666666666,0.2631578947368421,21,19,Diabetes
Diabetes,GMM,0.2830614784889803,0.9523809523809523,0.2,21,25,Diabetes
Diabetes,CVAE,2.8512758590002525,0.9523809523809523,0.2,21,25,Diabetes
